Zipcode,Place Name,State,County,Lat,Lon,
40 75252,Dallas,TX,Dallas,32.9968,-96.792,
42 75692,Waskom,TX,Harrison,32.5184,-94.135,
45 43501,Alvordton,OH,Williams,41.6625,-84.435,
41 7013,Clifton,NJ,Passaic,40.8693,-74.171,
40 77234,Houston,TX,Harris,29.834,-95.434,
56 20113,Manassas,VA,Manassas Park (city),38.7709,-77.449,
51 6254,North Franklin,CT,New London,41.6161,-72.142,
47 61846,Georgetown,IL,Vermilion,39.9792,-87.636,
45 8074,Richwood,NJ,Gloucester,39.7206,-75.168,
49 47974,Perrysville,IN,Vermillion,40.0737,-87.464,
42 47282,Vernon,IN,Jennings,38.9848,-85.609,
48 76305,Wichita Falls,TX,Wichita,33.9995,-98.393,
40 54566,Wabeno,WI,Forest,45.4332,-88.662,
42 83611,Cascade,ID,Valley,44.6927,-115.641,
40 57213,Astoria,SD,Deuel,44.5735,-96.541,
44 56738,Newfolden,MN,Marshall,48.2895,-96.25,
68 70739,Greenwell Springs,LA,East Baton Rouge Parish,30.5984,-90.970,
43 99256,Spokane,WA,Spokane,47.6536,-117.431,
74 94172,San Francisco,CA,City and County of San Francisco,37.7749,-122.419,
63 20697,Southern Md Facility,MD,Prince George's,38.8336,-76.877,
55 90255,Huntington Park,CA,Los Angeles,33.9769,-118.216,
38 25676,Lenore,WV,Mingo,37.7431,-82.10,
41 48430,Fenton,MI,Genesee,42.7851,-83.729,
